jawa,indo
Food stylist utowo perias panganan punika uwong sing noto panganen ben apik pas di foto,Food stylist atau perias makanan adalah orang yang menata makanan agar terlihat bagus saat difoto
Biasane wong sing dadi perias panganan kui ugo duwe profesi sebagai juru fotone,Biasanya orang yang menjadi perias makanan juga memiliki profesi sebagai juru foto
Nanging ora nutup kemungkinan yen loro profosi kui digarap karo 2 wong sing bedo,Namun tidak menutup kemungkinan jika kedua profesi ini dikerjakan oleh dua orang yang berbeda
Perias paganan bakal ngebantu juru foto ben panganan sing dijepret kui iso keliatan enak lan gawe sing delok pengen panganan utowo ombenan sing ono neng gambar,Perias makanan akan membantu fotografer agar makanan yang difoto bisa terlihat enak dan membuat yang melihat ingin makan atau minum yang ada di gambar
Dadi perias panganan kui emang ora kudu duwe latar belakang juru masak utowo pinter masing,"Jadi, perias makanan itu memang tidak harus memiliki latar belakang juru masak atau ahli masak"
Nanging pemahan sing duwue neng bidang kuliner kui iso gawe carane noto panganan utowo ombenan kui luwih rapi,Namun pemahaman yang dimiliki dalam bidang kuliner bisa membuat cara menata makanan atau minuman menjadi lebih rapi
Yen ono pegawe kui gawe salah neng awak dhewe awak dhewe duwe hak kanggo komplen,"Jika ada pekerja yang salah, kamu berhak untuk mengeluh"
Opo meneh nek kui gawe awak dhewe rugi,Apalagi jika itu merugikan kamu
Nanging sak durunge nesu awak dhewe kudu ngerti karo sopo awak dhewe lagi ngomong kui,"Namun sebelum marah, kamu harus tahu dengan siapa kamu sedang berbicara"
Soale ora kabeh pegawe utowo panitia kui duwe kuasa kanggo ngerungoke opo sing arep awal dhewe sampeke,Karena tidak semua pekerja atau panitia memiliki kekuasaan untuk mendengarkan apa yang ingin kamu sampaikan
Misale konser musik sing awak dhewe tonton kui mulaine telat,Misalnya konser musik yang aku tonton itu mulai terlambat
Yen awak dhewe nesu-nesu neng panitia sing jogo tiket ora bakal ono gunane,Jika kamu marah-marah pada panitia yang menjaga tiket tidak akan ada gunanya
Mergo dheweke iso jupuk keputusan opo-opo supoyo konser kui cepet dimulai,Karena mereka bisa mengambil keputusan apapun agar konser itu cepat dimulai
Apike awak dhewe komplain neng panita acara mergo dheweke sing duwe kuasa neng konser koyo ngono kui,Sebaiknya kamu mengeluh pada panitia acara karena mereka yang memiliki kekuasaan dalam konser seperti itu
Kabeh wong sing delok anake pinter utowo iso ngelakoni opo sing duwe nilai apik mesti seneng,Semua orang yang melihat anaknya pintar atau bisa melakukan hal yang bernilai baik pasti senang
Tapi roso seneng sing ketok maeng nang iso ojo sampek dadi tekone roso pamer nang wong liyo,"Tapi rasa senang yang terlihat hanya sekadar itu, jangan sampai menjadi rasa pamer kepada orang lain"
Nagsampek dadi roso pamer nang wong liyo iku sing medeni,Karena rasa pamer kepada orang lain itu yang menakutkan
Lapooh medeni soale iso dadekno perkoro-perkoro elek sing podo teko polahe roso seneng sing wes kecampur ambek roso pamer maeng,Karena itu bisa menyebabkan masalah-masalah buruk yang muncul dari pola rasa senang yang sudah tercampur dengan rasa pamer saja
Mnagkane nag duwe roso seneng maeng ojo sampek kecampur ambek roso pamer nang wong liyo,"Maka dari itu, jika kamu merasa senang, jangan sampai tercampur dengan rasa pamer kepada orang lain"
Aku disik sempet SD neng Sekolah Alam Bogor,Aku dulu sempat SD di Sekolah Alam Bogor
Kui sekolah bedo banget karo sekolah sing liyane,Itu sekolah sangat berbeda dengan sekolah-sekolah lain
Neng kono kui akeh dolane,Di sana banyak permainan
Aku lan konco-koncoku ora ngeroso koyo sinau neng kono,Aku dan teman-temanku tidak merasa seperti sedang belajar di sana
Contohe sak ben dino Rebo kui diadake outbound,"Contohnya, setiap hari Rabu diadakan outbound"
Iki sing dienteni karo koncoku sak ben minggune nanging ora kanggo aku,"Ini yang ditunggu teman-temanku setiap minggu, tapi tidak untuk aku"
Menurutku kui outbound kui koyo olahraga ekstrem kanggo cah cilik opo meneh kanggo aku sing wedi karo panggon sing duwur,"Menurutku outbound itu seperti olahraga ekstrem untuk anak kecil, apalagi untuk aku yang takut dengan tempat tinggi"
Sing paling kerep dilakoke kui dolan luncur gantung,Yang paling sering dilakukan itu permainan luncur gantung
Sak ben outboundne kui aku sing bengok paling banter,"Saat outbound, aku yang paling berteriak keras"
Sing paling medeni kanggo aku kui pas awak dhewe dikon mlaku neng duwur siji tali,Yang paling menakutkan bagiku itu saat aku diminta berjalan di atas satu tali yang tinggi
Awak dhewe mung iso cekalan tali liyo sing ono neng duwure,Kita hanya bisa memegang tali lain yang ada di atasnya
Serangan panik kui perkoro sing ora tak ngerteni,Serangan panik itu hal yang tidak aku mengerti
Soale serangan panik kui iso jedul yen wong kui ora bener-bener ngerasake bahaya,Karena serangan panik bisa terjadi jika orang tersebut tidak benar-benar merasakan bahaya
Mergo aku ora ngerti babagan serangan panik iki aku dadi wedi,"Karena aku tidak tahu tentang serangan panik ini, aku jadi takut"
Aku iso wae keno serangan panik tonpo aku ngerti yen aku duwe kelainan kui,Aku bisa saja terkena serangan panik tanpa aku tahu jika aku punya kelainan itu
Soale kui mau penyebab ora cetho,Karena itu penyebabnya tidak jelas
Aku mungkin ora iso sadar opo sing nyebabke sak durunge aku ngerasake dhewe,Aku mungkin tidak bisa sadar apa yang menyebabkan itu sebelum aku merasakannya sendiri
Nanging piye nek pisanan aku keno serangan panik kui aku langsung ciloko,"Tapi bagaimana jika pertama kali aku terkena serangan panik, aku langsung terjatuh?"
Ora ono ngejamin aku iso sinau seko pengalamanku sing kepisan keno serangan kui,Tidak ada yang menjamin aku bisa belajar dari pengalaman pertama kali terkena serangan itu
Ora ono sing iso ngejamin aku iso slamet,Tidak ada yang bisa menjamin aku selamat
Aku wedi banget keno serangan panik,Aku sangat takut terkena serangan panik
Pas tak buka kui foto-fotone ibu lan bapakku pas lagi nikah,"Saat aku buka, itu foto-foto ibu dan bapakku saat menikah"
Tak gateke pernikahane kui nganggo adat Jawa,Aku perhatikan pernikahan itu menggunakan adat Jawa
Banjur ibuku nyeraki aku lan crito babagan pernikahane,Lalu ibuku menjelaskan dan bercerita tentang pernikahannya
Fotofoto neng album kui jarane ibuku wis disusun kanthi urat prosese seko awal tekan akhir,Foto-foto di album itu urutannya sudah disusun dengan proses dari awal hingga akhir
Sedino sak durunge nikah neng omahe ibuku nen Pondok Gedhe digawe acara hajatan,Sehari sebelum menikah di rumah ibuku di Pondok Gedhe diadakan acara hajatan
Neng ngarep omah kui dipasange terop utowo tenda lan tarub sing dipasang neng ngarep lawang,Di depan rumah itu dipasang terop atau tenda dan tarub yang dipasang di depan pintu
Uga ono prosesi kembar mayang,Juga ada prosesi kembar mayang
Dadi ono bocah cilik gawe rangkaian kembang sing identik kanggo diseleh neng omahe pengantin,Jadi ada anak kecil membuat rangkaian bunga yang khas untuk diletakkan di rumah pengantin
Wengine ibuku ngelokoni prosesi siraman,Kemudian ibuku menjalani prosesi siraman
Kanggo pungkasane ono prosesi adol dhawet,Untuk akhirnya ada prosesi jualan dhawet
Jaman saiki sing serba instant ambek cepet tibake marakno akeh sampah sing numpuk ambek mumbruk nang endi-endi,Zaman sekarang yang serba instan dan cepat menyebabkan banyak sampah menumpuk dan berserakan di mana-mana
Nah asline perkoro iku maeng yo kenek ae diatasi nag ancene wonge iku gelem ambek sadar karo lingkungane maeng,Nah sebenarnya masalah itu hanya perlu diatasi jika orang tersebut mau sadar dengan lingkungannya
Nah sing garai wong iku jember ambek jijik nag pas delok perkoro iku maeng yoiku yo polahe sampah sing wes mumbruk ora karoan,"Nah, yang membuat orang itu jijik adalah saat melihat masalah itu, yaitu tumpukan sampah yang berserakan tidak pada tempatnya"
Maeng iso marakno pirang-pirang penyakit sing ono nang lingkungan iku maeng,Itu bisa menimbulkan berbagai penyakit yang ada di lingkungan itu
Terus dadekno lingkungan sing ono nang pinggire dadi ora sehat maneh,Lalu menjadikan lingkungan yang ada di sekitarnya menjadi tidak sehat lagi
Wong sing ora ngerti babagan liberal kuwi mesti ngarani yen liberal kuwi padha karo nerima kabeh ajaran lan uga ora ndelok babagan kepiye sing paling bener,Orang yang tidak mengerti tentang liberal pasti menganggap liberal itu sama dengan menerima semua ajaran dan tidak peduli dengan mana yang benar
Nanging nyatane liberal kuwi ngurmati hak asasi menungsa ning dunya iki,Tapi kenyataannya liberal itu menghormati hak asasi manusia di dunia ini
Wong sing duwe pemikiran liberal pancen bisa oleh kemerdekaan ngomong lan mikir uga nduweni pemahaman marang hukum negara dhewe,Orang yang memiliki pemikiran liberal memang bisa bebas berbicara dan berpikir juga memiliki pemahaman tentang hukum negara mereka sendiri
Nanging keyakinan iki ya sing marai wong liberal kuwi bisa ndelok dunya saka sisi sing luwih amba,Tapi keyakinan ini yang membuat orang liberal bisa melihat dunia dari sisi yang lebih luas
Kamangka awak dhewe ora oleh meksa liberal kanggo lunga saka pikirane wong,Karena kita tidak boleh memaksa orang liberal untuk meninggalkan pikirannya
Liberalisme kuwi apik senajan digunakake ning panggon utawa negara sing trep lan cocok ben ora saya ngerusak,Liberalisme itu baik meskipun digunakan di tempat atau negara yang tepat dan cocok agar tidak merusak
Dino iki aku dijak karo budheku nyambit rumput nang kebun mburi omahe,Hari ini aku diajak oleh bibi untuk memotong rumput di kebun belakang rumah
Pas aku mrono aku langsung dikeki clurit dan awak dewe mlaku nang mburi omah,"Saat aku di sana, aku langsung diberikan clurit dan kami berjalan ke belakang rumah"
Pas didelok dadakno rumpute wes duwur-duwur banget,"Saat dilihat, rumputnya sudah sangat tinggi"
Gak atek basabasi aku langsung nyambiti rumput-rumput iku mau nganggo clurit,"Tanpa basa-basi, aku langsung memotong rumput-rumput itu dengan clurit"
Pas wes mari aku ambek budheku langsung leren dan istirahat ndek Gubuk mburi omah,"Setelah selesai, aku dan bibi langsung berhenti dan istirahat di gubuk belakang rumah"
Budheku crito nek clurit iki senjata tradisional sing mbiyen digawe perang ngelawan penjajah,Bibiku cerita bahwa clurit ini adalah senjata tradisional yang dulu digunakan untuk berperang melawan penjajah
Aku awale gak percoyo tapi budheku tetep ngomong koyok ngono,"Awalnya aku tidak percaya, tapi bibiku tetap mengatakan seperti itu"
Jare clurit sing tak cekel iki tau dadi alat perange mbah buyut mbiyen,Katanya clurit yang aku pegang ini dulu pernah menjadi alat perang kakek buyut dulu
Dadi istilahe ngono clurit sing tak cekel iki wes bersejarah banget,"Jadi istilahnya, clurit yang aku pegang ini sudah sangat bersejarah"
Tapi saiki delok Tv iso teko endi-endi soale jamane wes maju,Tapi sekarang menonton TV bisa dari mana saja karena zaman sudah maju
Ndelok Film saiki wae yo wes iso teko Hp sing penting Hp iku maeng ono internete,"Menonton film sekarang juga bisa dari HP, yang penting HP itu harus ada internetnya"
Ndelok film iku iso didadekno penggawean alternatife nag awak dewe ngeroso pegel ambek aktifitas sing sakbendinoe mbok lakoni,Menonton film itu bisa dijadikan alternatif pekerjaan saat kita merasa lelah dengan aktivitas yang sehari-hari kita lakukan
Ndelok film iku aktifas sing asline iso ngilangno stress soale iso hibur awak,Menonton film itu adalah aktivitas yang sebenarnya bisa menghilangkan stres karena bisa menghibur diri
Terus delok film saiki yo gampang soale iso didelok nang endiedni terus regane yo murah,"Selain itu, menonton film sekarang juga mudah karena bisa ditonton di mana saja, dan harganya juga murah"
Ora angger murah tok ndelok film saiki iso macem-maceme yo akeh ona sing film action film cerito film dokumetary ambek liyan-liyane karek milih dewe endi film sing mok senengi,"Tidak hanya murah, menonton film sekarang bisa beragam, banyak film action, cerita, dokumenter, dan lainnya, tinggal pilih yang kita sukai"
Sapa sing ora kaget yen ana wong mbengok,Siapa yang tidak terkejut kalau ada orang berteriak
Ning kantin iki pancen lagi rame banget,Di kantin ini memang lagi sangat ramai
Kabeh wong padha antri kanggo tuku jajan senengane,Semua orang antri untuk membeli jajanan kesukaan mereka
Ana bocah sing ngamuk ing salah siji warung,Ada seorang anak yang marah di salah satu warung
Kabeh padha bingung amarga dheweke ora ana apa-apa ujug-ujug ngamuk,Semua orang bingung karena dia tidak ada apa-apa tiba-tiba marah
Dheweke mbuaki jajan sing ana ing warung iku ngobrak abrik warung sak isine,Dia merusak jajanan yang ada di warung itu dan mengacak-acak seluruh isi warung
Kabeh pdha wedi lan akhire nyeluk satpam kanggo nyekel bocah iki,Semua orang takut dan akhirnya memanggil satpam untuk menangkap anak ini
Bocah iki uga meh padu karo wong sing njajal misah dheweke karo bakul sing ana ing kantin,Anak ini juga hampir berkelahi dengan orang yang mencoba memisahkannya dengan penjual yang ada di kantin
Kabeh pdha ngira bocah iki rada ora bek amarga ora suwi sak marine kedadean iku dheweke wis ngguya ngguyu kaya wong ora duwe dosa,Semua mengira anak ini agak tidak normal karena tidak lama setelah kejadian itu dia tertawa seperti orang yang tidak berdosa
Wongwong sing setuju karo aborsi biasane jedul seko golongan tertentu,Orang-orang yang setuju dengan aborsi biasanya berasal dari golongan tertentu
Aku gateke yen wong-wong sing setuju karo pelegalan aborsi kui ono seko golongan progresif utowo sing liberal,Aku perhatikan bahwa orang-orang yang setuju dengan legalisasi aborsi ini berasal dari golongan progresif atau liberal
Golongan iki kerep banget ngelawan aturan-aturan utowo adat isitiadat sing wis ono ket jaman simbahe dhewe malah mungkin luwih suwe,"Golongan ini sering melawan aturan-aturan atau adat istiadat yang sudah ada sejak zaman nenek moyang mereka, bahkan mungkin lebih lama"
Wongwong iki ngelabeli awake dhewe sebagai wong sing pikirane kebuka,Orang-orang ini menilai kita sebagai orang yang pemikirannya terbuka
Seko cara pakaiane kui luwih kebukak,Dari cara berpakaian mereka juga lebih terbuka
Dheweke dukung banget kebebas ngeekspresike opo sing dheweke rasake tanpo ono wates,Mereka sangat mendukung kebebasan untuk mengekspresikan apa yang mereka rasakan tanpa batas
Alesane kui mau sifate dhewe pancen ngelawan aturan lan adat sing wis suwe dipercoyo karo masyarat,Alasan mereka seperti itu karena mereka memang menentang aturan dan adat yang sudah lama dipercaya oleh masyarakat
Termasuk kebijakan aborsi iki sing kerep diarani wong perilaku sing ora ilok,Termasuk kebijakan aborsi ini yang sering dianggap oleh orang sebagai perilaku yang tidak baik
Nang kotaku iku asline ono bangunan sing biyen iku bekas maskase wong londo sampek saiki bangunane yo isek ono ambek ora mletek blas,"Di kotaku sebenarnya ada bangunan yang dulunya bekas tempat tinggal orang Belanda, sampai sekarang bangunannya masih ada dan tidak rusak sama sekali"
Nah sing nang kotaku tambah dimbarno karo bupatine,"Nah, yang di kotaku malah ditambah oleh bupatinya"
Lah wong dalan ae ajor ora direken opo maneh mbangun koyok ngunuku yo ora ngiro gelem lapooh bangun barang,"Jalan saja dibiarin begitu saja, apalagi membangun seperti itu, tak disangka bisa selesai membangun barang"
Padal asline kan iku yo termasuk cagar budaya sing isine sejarah perjuangane pahlawan sing merdekakno negoro iki,Padahal sebenarnya itu termasuk cagar budaya yang berisi sejarah perjuangan pahlawan yang memerdekakan negara ini
Tapi lapooh kok dimbarno ambek bupatine,Tapi kenapa bisa dibiarkan oleh bupatinya
Paling bupatine ora sekolah mangkane ora ngerti blas masalah nginiki,"Mungkin bupatinya tidak sekolah, jadi tidak mengerti masalah seperti ini"
Wong tuoku biyen tau ngandani nag awakmu ora wani dewean yo awakmu kudu moro nang wong kaeh ben wedi iku pas aku isek cilik,"Orang tuaku dulu pernah memberitahuku bahwa kalau kamu tidak berani sendiri, kamu harus mencari orang lain yang bisa melindungimu, itu saat aku masih kecil"
Tapi pas aku wes rodok gedeh wong tuoku ngomong nag awakmu isek wedi nag dewean paranono opo sing garai awakmu wedi ben awamu iku ero opo sing marakno awakmu wedi,"Tapi saat aku sudah agak besar, orang tuaku bilang kalau kamu masih takut sendirian, tanyakan apa yang membuatmu takut agar tubuhmu tidak merasa cemas atau terbebani"
Terus nag iso dolano sing adok ambek gembulo karo wong akeh ben awakmu iku duweni mental karo pikiran sing resik ora endot koyok areng,"Lalu, jika kamu bisa bermain dengan teman-teman banyak, tubuhmu akan memiliki mental yang kuat dengan pikiran yang bersih dan tidak terbebani seperti abu"
Dadi kanggo wong sing ancene wedian ang dewean iku yo kudu iso latihan ngadepi wedine gal saitik ben ora tau ambek ora ketalep nag wes kadung ketalep ambek wes kacel mesti bakal ewo ngilangnoe,"Jadi, bagi orang yang memang takut sendirian, mereka perlu latihan untuk menghadapi ketakutannya sedikit demi sedikit agar tidak terjebak dalam ketakutan yang lebih besar"
Pengalaman diuber kewan kuwi ora mesti amarga kewan sing tertarik marang menungsa nanging uga amarga tingkah menungsa sing wani ngganggu kewan lan uga wani nggodhak omah kewan kuwi,"Pengalaman dikejar hewan itu tidak selalu karena hewan tertarik pada manusia, tetapi juga karena tingkah laku manusia yang mengganggu hewan dan merusak rumah mereka"
Omah sing keganggu kuwi marai kewan stres lan bisa nyerang para menungsa banjur para kewan iki dadi bumerang,"Rumah yang terganggu itu membuat hewan stres dan bisa menyerang manusia, kemudian hewan ini menjadi boomerang bagi mereka"
Salah siji contone yaiku tawon,Salah satu contohnya adalah tawon
Yen wong ngganggu omah tawon mesti karo para tawon kuwi diuber utawa dientup amarga serangan iki dadi salah siji bentuk pertahanan diri,"Jika seseorang mengganggu rumah tawon, pasti dia akan dikejar atau diserang, karena serangan ini adalah bentuk pertahanan diri tawon"
Kamangka akeh wong sing diuber kewan banjur diserang kanthi seda kuwi biyasane diwiwiti saka kewan sing kerasa diganggu ning alas banjur menungsane ora siap diserang kewan lan ora bisa ngelindungi awake,"Banyak orang yang dikejar hewan dan kemudian diserang sampai mati biasanya dimulai dari hewan yang merasa diganggu di hutan, dan manusia tidak siap diserang serta tidak bisa melindungi diri"
Ndelok film iku ancene iso gawe santai ambek kenek digawe hiburan nag pas waktu luang,Menonton film itu memang bisa membuat santai dan bisa dijadikan hiburan saat waktu luang
Tapi kadang ndelok film yo kedu ngerti film sing apik ambek layak didelok,Tapi terkadang menonton film juga harus tahu film yang bagus dan layak ditonton
Opo maneh saiki film sing tayang ora karuan jenise ambek ora karuan ceritane,Apalagi sekarang film yang tayang jenisnya tidak jelas dan ceritanya pun tidak menentu
Jare berita-berita nag situse pemenrintah sing bahas masalah film,Menurut berita-berita di situs pemerintah yang membahas masalah film
Film sing oleh ditayangno ambek sing oleh didelok nak TV iku ono aturane,Film yang boleh ditayangkan dan yang boleh ditonton di TV itu ada aturannya
Salah sijine yaiku kudu ngetokno kode 18,Salah satunya adalah harus menunjukkan kode 18
nag kanggo wong gedeh,untuk orang dewasa
Nag kanggo bocah cilik utowo remaja yo kudu nayangno sing sekirane ora ono hal negative koyok contone gelut-gelutan ambek pornografi,Untuk anak kecil atau remaja juga harus menampilkan yang seharusnya tanpa ada hal negatif seperti perkelahian atau pornografi
Tapi jarene bocah-bocah utowo nitizen sing nag medsos,Tapi katanya anak-anak atau netizen di media sosial
Timbangane ngetokno aturan ndelok film koyok ngunu palang ora atek ngetokno film,"Daripada memperhatikan aturan menonton film seperti itu, lebih baik tidak menonton film sama sekali"
Wingi nane pas aku dolan nang Wisdom Park sing ono nang pinggire kampus aku delok ono bocah sing huwakhuwek tibake pas aku tambah parek karo bocah iku maeng tibake bocah iku mutah-mutah,"Kemarin saat aku jalan-jalan ke Wisdom Park yang ada di pinggir kampus, aku melihat seorang anak yang terbatuk-batuk, lalu tiba-tiba anak itu muntah"
Nah pas delok utahanae maeng moro-moro aku ngeroso gilo dewe mergo jember nag delok perkoro koyok ngunuku maeng,"Nah, saat melihat kejadian itu, aku merasa pusing karena melihat hal seperti itu"
Yo asline ora sepiro tapi sing garai jember maeng iku rupane sing campur kuning-kuning piye ngunu koyok panganan sing mambu ambek ambune sing ora enake megilan,"Sebenarnya tidak begitu parah, tapi yang terlihat itu berwarna kekuningan seperti makanan yang berbau dan rasanya tidak enak di perut"
Mangkane aku langsung nyingkreh mergo nag suwe-suwe mesti wetengku melok mbunek-mbunek mergo ndelok perkoro kene maeng,Maka aku langsung menjauh karena lama-lama perutku akan merasa mual karena melihat kejadian ini
Terus masio aku wes mireh tapi yo isek ketok-ketoken ambek gilo dewe,"Terus meskipun aku sudah pergi, aku masih terasa pusing karena kejadian itu"
Wisatawan saka njaba kutha lan manca negara nemu halangan pas ngumbah batik tulis saka Jogja utawa batik tulis Solo amarga bar diumbah kualitas batike malah mudhun kaya mbulak utawa luntur lan serate rusak,"Wisatawan dari luar kota dan luar negeri mengalami kesulitan saat mencuci batik tulis dari Jogja atau Solo, karena setelah dicuci kualitas batiknya malah menurun seperti luntur atau rusak"
Kamangka kuwi batik iki larang amarga ana perlakuan khusus,Padahal batik ini mahal karena memerlukan perlakuan khusus
Para pengguna batik iki bisa nganggo lerak utawa lamuran,Pengguna batik ini bisa menggunakan lerak atau lamuran
Buah iki bisa dadi deterjen tradisional amarga bisa ngilangake kotoran ning klambi,Buah ini bisa menjadi deterjen tradisional karena bisa menghilangkan kotoran di pakaian
Kaping pindho uga bisa ngumbah nganggo banyu anget lan misahake saka klambi jenis liyane utamane saka klambi putih,"Kedua, bisa mencuci dengan air hangat dan memisahkannya dari pakaian jenis lain, terutama pakaian putih"
Kaping telu ngumbah batik iki uga bisa nganggo deterjen khusus batik lan ora usah disikat ben ora ngrusak serat kaine,"Ketiga, mencuci batik ini bisa menggunakan deterjen khusus batik dan tidak perlu disikat agar tidak merusak serat kainnya"
Akhire sing dinanti iku teko sisan yaiku liburan semester kuliah,"Akhirnya yang ditunggu-tunggu datang juga, yaitu liburan semester kuliah"
Liburan kali iki berhubung aku sek durung isok balik kampung saiki tak puasno gawe dolan dewe nang Mall,"Liburan kali ini karena aku belum bisa pulang kampung, sekarang aku memutuskan untuk jalan-jalan sendiri ke Mall"
Mbasio mek mlaku-mlaku tok nang Mall iku rasane wes seneng pol soale rosone koyok bebas dan gak onok sing ngatur ngono lho,"Bahkan meskipun cuma jalan-jalan di Mall, rasanya sangat senang sekali karena rasanya bebas dan tidak ada yang mengatur"
Mergo luwe akhire aku milih mangan nang salah siji Restoran AYCE BBQ,"Karena lapar, akhirnya aku memilih makan di salah satu restoran AYCE BBQ"
Berhubung wes keluwen aku maleh kalap pol njupuk daging sing kate tak masak engkok,"Karena sudah lapar, aku kembali kalap banget mengambil daging yang akan aku masak nanti"
Wes ngono aku akeh njupuk jajanan liyane maneh,"Setelah itu, aku mengambil banyak makanan lainnya lagi"
Mbari njupuk sampe patang piring gawe awakku dewe buru aku balik nang mejoku dan masak dagingku,"Bahkan sambil mengambil makanan sampai empat piring, aku buru-buru kembali ke meja dan memasak dagingku"
Mergo aku temenan keluwen makane aku isok ngentekno iku kabeh,"Karena aku benar-benar lapar, maka aku bisa menghabiskan semuanya"
Dan gak sengojo aku antep guede pol sampe wong-wong podo ndeloki aku,Dan tanpa sengaja aku makan terlalu banyak sampai orang-orang pada melihatku
Dideloki koyok ngono marai aku isin pol dan mek isok nunduk pas ngentekno jajanan sisane sing onok nang mejoku,Dilihat seperti itu membuat aku sangat malu dan akhirnya aku menunduk saat menghabiskan makanan yang masih ada di mejaku
Ben awak dhewe iso ngerasake manfaat olahraga kui dudu awak dhewe ngelakokene sak obot utowo sak suwe opo sing paling penting kui awak dhewe ngelakonine kanthi disiplin,"Agar tubuh kita bisa merasakan manfaat olahraga, itu bukan tentang kita melakukannya sejenak atau lama, yang paling penting adalah kita melakukannya dengan disiplin"
Ben iso disiplin ono beberapa hal sing kudu awak dhewe gateke,"Agar bisa disiplin, ada beberapa hal yang harus kita perhatikan"
Sing kesiji awak dhewe kudu nentoke target sing kudu dicapai sak ben dinone,"Yang pertama, kita harus menetapkan target yang harus dicapai setiap harinya"
Targete kui ora usah sing muluk-muluk,Targetnya tidak perlu yang muluk-muluk
Sing keloro olahraga sing awak dhewe pilih kui kudu gampang awak dhewe lakoke,"Yang kedua, olahraga yang kita pilih harus mudah kita lakukan"
Dadi misale awak dhewe wonge mageran ojo milih renang,"Jadi misalnya kalau kita orang yang malas bergerak, jangan pilih renang"
Sing ketelu awak dhewe kudu gawe jadwal olahragane,"Yang ketiga, kita harus membuat jadwal olahraga"
Olahraga sing awak dhewe tentoke mau kui arep dilokeke jam piro oleh isuk utowo sore pokokmen kapan wae pas wektu awak dhewe selo,"Olahraga yang telah kita tentukan itu akan dilaksanakan pada jam berapa saja, pagi atau sore, yang penting saat kita ada waktu luang"
Saiki nag pengen tuku TV iku kudu ati-ati masio iku mereke apik,"Sekarang jika ingin membeli TV, harus hati-hati meskipun tampilannya bagus"
Polahe masio mereke apik sing jenenge gawe bareng mesti ono cacate,"Meskipun tampilannya bagus, jika itu diproduksi bersama pasti ada cacatnya"
Mangkane karo wong sing pengalaman nag tuku opo-opo mesti dikongkon delok disek nag TV dikongkon ngakakno disek ben ngerti layare normal opo ora,"Maka dari itu, dengan orang yang berpengalaman dalam membeli barang apapun, pasti disarankan untuk melihatnya dulu, seperti TV, periksa dulu layarnya normal atau tidak"
Terus iso nangkep siaran opo ora ambek iso makan normal opo ora,"Lalu, apakah bisa menangkap siaran atau tidak, serta apakah bisa makan dengan normal atau tidak"
Perkoro jajal barang yo nag TV tok nag tuku Radio barang yo kudu dijajal ben ngerti radio iku normal opo ora,"Masalah mencoba barang, seperti TV atau membeli radio, juga harus dicoba dulu, agar tahu apakah radio itu normal atau tidak"
Awit teko makane terus sing kanggo mileh chanele normal opo ora mari ngunu iso nangkep chanel to ogak,"Setelah itu, yang perlu dipilih adalah saluran normal atau tidak, agar bisa menangkap salurannya atau tidak"
Kabeh iku ancene kudu dijaja,Semua itu memang harus dicoba terlebih dahulu
soale nag ora dijajal terus nag wes kadung dituku terus ono sing ora tepak kan gelakno,"Karena jika tidak dicoba dulu dan sudah terlanjur dibeli, ada yang tidak sesuai dan pasti membuat kesal"
Aku gelek petok sing jenenge keris mboh iku nang facebook utowo nang instagram,Aku melihat foto yang bernama keris entah itu di Facebook atau Instagram
Lah keris iku termasuk salah sijine senjata sing legendaris sing ono nang indonesia,"Nah, keris itu termasuk salah satu senjata legendaris yang ada di Indonesia"
Tapi asline senjata iki termasuk senjata tradisional sing teko jawa timur,Tetapi sebenarnya senjata ini termasuk senjata tradisional yang berasal dari Jawa Timur
Senjata iki duwe bentuk sing lincip nang duwure koyok pedang tapi sing garai iku unik yaiku ora mok angger lincip tok tapi yo mlengkung-mlengkung nang tengai keris iku,"Senjata ini memiliki bentuk yang runcing di atasnya seperti pedang, tetapi yang unik adalah tidak hanya runcing saja, tapi juga melengkung-lengkung di bagian tengah kerisnya"
Mari ngunu keris iki yo duwe telong bagian yaiku gaman cekelan ambek selotong,"Selain itu, keris ini juga memiliki tiga bagian, yaitu pegangan dan selongsongnya"
Tapi kudu ono rituale disek koyok nyiapno sesaji ambek mileh waktu utowo dino sing pas,"Tapi harus ada ritualnya dulu, seperti menyiapkan sesaji dan memilih waktu atau hari yang tepat"
Dadi tanggo sing apik kui ora gampang,Menjadi tetangga yang baik itu tidak mudah
Senadyan awak dhewe ora begitu cocok karo lingkungane,Meskipun kita tidak terlalu cocok dengan lingkungan kita
Nanging awak dhewe tetep kudu dadi tonggo sing apik lan ramah,Namun kita tetap harus menjadi tetangga yang baik dan ramah
Supoyo awak dhewe iso dianggep apik karo tonggone dhewe ono beberapa hal sing iso awak dhewe lakoke,"Agar kita bisa dianggap baik oleh tetangga, ada beberapa hal yang bisa kita lakukan"
Sing kesji awak dhewe iso melu kabeh kegiatan sosial sing ono neng lingkungane dhewe,"Yang pertama, kita bisa ikut semua kegiatan sosial yang ada di lingkungan kita"
Sing keloro awak dhewe iso niliki tonggone dhewe sing lagi lara,"Yang kedua, kita bisa melihat tetangga kita yang sedang sakit"
Sing ketelu awak dhewe iso nyapa tonggo-tonggone dhewe pas lagi papasan neng dalan,"Yang ketiga, kita bisa menyapa tetangga kita saat bertemu di jalan"
