Indonesia,Javanese
dari kesemua aset tersebut  beberapa di antaranya dimiliki oleh keluarga miskin seperti radio  tape recorder  dan sepeda,saking kesedaya aset kesebat beberapa ing antawisipun dipunpek dening keluarga miskin kados radio tape recorder uga sepeda 
dua jenis aset yang umumnya dimiliki oleh keluarga kaya dan keluarga miskin adalah tanah dan rumah,kalih jenis aset ingkang umumnya dipunpek dening keluargasugih uga keluarga miskin yaiku siti uga griya 
mungkin ada beberapa alasan menyangkut kepemilikan atas kedua aset ini,bokmenawi enten beberapa alasan ngusung kepemilikan inggil kaping kalih aset niki 
kedudukannya yang teramat penting sehingga sangat diprioritaskan  atau merupakan harta warisan dari orang tua,kelenggahanipun ingkang sanget wigati dadosipun diprioritaskansanget utawi ngrupikaken banda warisan saking tiyang sepuh 
kebanyakan keluarga miskin terdiri atas keluarga yang berorang tua tunggal atau hanya beranggotakan satu orang,kekathahen keluarga miskin badan inggil keluarga ingkang ana tiyangipun sepuh tunggil utawi namung beranggotakan setunggal tiyang 
perbedaan tingkat pendidikan para kepala keluarga kaya dan kepala keluarga miskin tampak mencolok,bedan tingkat pamucalan para sirah keluarga sugih uga sirah keluarga miskin katingal mencolok 
 kepala keluarga kaya telah menyelesaikan pendidikan formalnya , sirah keluarga sugih sampun ndumugekaken pamucalan formalnya 
kesenjangan tingkat pendidikan antara pasangan keluarga miskin dan pasangan keluarga kaya bahkan lebih lebar,kesenjangan tingkat pamucalan antawis pasangan keluargamiskin uga pasangan keluarga sugih bahkan langkung wiyar 
sementara itu   pasangan keluarga kaya memiliki tingkat pendidikan diploma dan  berpendidikan sarjana,sementara punika  pasangan keluarga sugih nggadhahi tingkat pamucalan diploma uga berpendidikan sarjana 
hanya  anggota keluarga yang tidak berpendidikan lebih tinggi daripada sd,namung anggota keluarga ingkang mboten berpendidikanlangkung inggil daripada sd 
akan tetapi  ada sedikit pasangan baik dari keluarga kaya maupun keluarga miskin yang juga bekerja,nanging enten sekedhik pasangan sae saking keluarga sugih kersaa keluarga miskin ingkang ugi nyambut damel 
pada keluarga kaya terdapat  dari pasangannya yang bekerja dan keluarga miskin terdapat  pasangannya bekerja,ing keluarga sugih enten saking pasanganipun ingkang nyambut damel uga keluarga miskin enten pasanganipun nyambut damel 
ada yang mengejutkan   keluarga kaya sedikitnya memiliki satu anak usia sekolah yang bekerja,enten ingkang mengejutkan keluarga sugih sekedhikipun nggadhahi setunggal anak umur sekolah ingkang nyambut damel 
banyak keluarga kaya terlibat dalam sektor jasa dan perdagangan,kathah keluarga sugih terlibat lebet sektor jasa uga gramenan 
sebaliknya hanya segelintir keluarga miskin yang bergerak di sektor ini  kebanyakan mereka bergerak di sektor pertanian ,sawalikipun namung segelintir keluarga miskin ingkang ngabah ing sektor niki  kekathahen piyambake sedaya ngabah ing sektorpertanian 
hanya  keluarga kaya yang bermatapencaharian bertani,namung keluarga sugih ingkang bermatapencahariansesabin 
perbedaannya hanya terletak pada besarnya jumlah dan jenis kirimantransfer,bedanipun namung manggen ing agengipun wilangan uga jeniskentunantransfer 
sesuai dengan kepemilikan aset  keluarga kaya mendapatkan akses yang lebih besar pada lembaga keuangan formal,sami kaliyan kepemilikan aset keluarga sugih nyagedaken akses ingkang langkung ageng ing lembaga kartan formal 
kebanyakan keluarga kaya  memiliki dana tabungan  sementara hampir tak satu pun keluarga miskin memiliki tabungan,kekathahen keluarga sugih nggadhahi dana tabungan sementara hampir mboten setunggala keluarga miskinnggadhahi tabungan 
selama tiga tahun terakhir   keluarga kaya menerima kredit dari lembaga keuangan formal dan  telah menggadaikan asetnya,salebetipun telu taun paling akhir keluarga sugih nampi kredit saking lembaga kartan formal uga sampun nggantosaken asetnya 
sebaliknya  tak satu pun keluarga miskin yang menerima kredit dari lembaga keuangan formal atau pun yang menggadaikan asetnya,sawalikipun mboten setunggala keluarga miskin ingkang nampi kredit saking lembaga kartan formal utawi pun ingkang nggantosaken asetnya 
juga terdapat perbedaanperbedaan yang mencolok dalam hal pola konsumsi,ugi enten bedanbedan ingkang mencolok lebet hal polakonsumsi 
meskipun hampir setiap keluarga makan dua kali sehari  asupan proteinnya berbeda,senaosa hampir saben keluarga tedha kaping kaling sadinten  asupan proteinnya benten 
indikator kesehatan antara keluarga kaya dan keluarga miskin juga tampak berbeda,indikator kesarasan antawis keluarga sugih uga keluarga miskinugi katingal benten 
sebanyak  keluarga kaya mengupayakan layanan kesehatan modern selama sakit  sementara keluarga miskin hanya ,sakathah keluarga sugih nyupadosaken ladosan kesarasan modern salebetipun sakit sementara keluarga miskinnamung 
persentase keluarga kaya yang mengkonsumsi air bersih dua kali lebih besar dibandingkan keluarga miskin,persentase keluarga sugih ingkang mengkonsumsi toya resik kaping kaling langkung ageng dipunbandingaken keluarga miskin
sisanya menggunakan wc umum atau memakai wc tetangga,tirahipun ngginakaken wc umum utawi ngangge wc tanggi 
sementara  lebih banyak keluarga kaya memiliki rasio ketergantungan yang tinggi,sementara langkung kathah keluarga sugih nggadhahi rasioketergantungan ingkang inggil 
pasokan listrik selalu tersedia  baik keluarga miskin atau keluarga kaya memiliki akses pada listrik,pasokan listrik salajeng sampun dicawis sae keluarga miskinutawi keluarga sugih nggadhahi akses ing listrik 
sekali lagi  hal ini merupakan imbas dari tingkat kepemilikan aset yang dimiliki keluarga kaya,pisan malih hal niki ngrupikaken imbas saking tingkat kepemilikan aset ingkang dipunpek keluarga sugih 
indikator kesejahteraan utama tabel ix menyajikan  variabel yang paling membedakan tingkat kesejahteraan di parakantugu,indikator kesejahteraan utami tabel ix nyawisaken variabel ingkang paling mupuran tingkat kesejahteraan ing parakantugu 
delapan di antaranya adalah variabel kepemilikan  sementara dua lainnya adalah tabungan dan tingkat pendidikan kepala keluarga,wolu ing antawisipun yaiku variabel kepemilikan sementarakalih bentenipun yaiku tabungan uga tingkat pamucalan sirah keluarga 
keluarga miskin hanya memiliki tv hitam putih dan radio  sementara keluarga kaya memiliki hampir setiap variabel kepemilikan,keluarga miskin namung nggadhahi tv cemeng pethak uga radio sementara keluarga sugih nggadhahi hampir saben variabel kepemilikan 
keduanya samasama memiliki tanah dan rumah,kekalihipun samasama nggadhahi siti uga griya 
seperti di desadesa lain  rumah dan tanah biasanya merupakan warisan dari orang tuanya,kados ing dhusundhusun benten griya uga siti biyasanipun ngrupikaken warisan saking tiyang sepuhipun 
berkenaan dengan kepemilikan hewan ternak  kebanyakan keluarga miskin memelihara ayam dan kambing,berkenaan kaliyan kepemilikan kewan ingahingah kekathahen keluarga miskin ngingah ayam uga menda 
hanya  keluarga kaya yang kepala keluarganya perempuan  dibandingkan  kepala keluarga perempuan pada keluarga miskin,namung keluarga sugih ingkang sirah keluarganya estri  dipunbandingaken sirah keluarga estri ing keluarga miskin
menariknya   pasangan dalam keluarga miskin berpendidikan sltp dan sisanya hampir  tidak menyelesaikan pendidikan dasarnya,nggeretipun pasangan lebet keluarga miskinberpendidikan sltp uga tirahipun hampir mboten ndumugekaken pamucalan dasarnya 
dalam kategori pekerjaan   kepala keluarga kaya berstatus bekerja dan hanya  kepala keluarga miskin memiliki pekerjaan,lebet kategori padamelan sirah keluarga sugih berstatusnyambut damel uga namung sirah keluarga miskinnggadhahi padamelan
terlebih lagi   pasangan keluarga kaya juga bekerja dibandingkan hanya  pasangan keluarga miskin yang bekerja,tirahtirah malih pasangan keluarga sugih ugi nyambut damel dipunbandingaken namung pasangan keluarga miskin ingkang nyambut damel 
hanya  keluarga kaya yang bekerja di sektor pertanian,namung keluarga sugih ingkang nyambut damel ing sektor pertanian 
di samping itu  hampir seperempat keluarga miskin bergantung pada dana transfer dari pihak lain,ing samping punika  hampir saprasakawan keluarga miskin bergantung ing dana transfer saking pihakbenten 
akses pada lembaga keuangan hanya terbatas pada orang kaya   keluarga kaya memiliki tabungan dan  telah menerima kredit,akses ing lembaga kartan namung kewates ing tiyang sugih keluarga sugih nggadhahi tabungan uga sampun nampi kredit 
meski berbeda  baik keluarga kaya maupun yang miskin memiliki pola konsumsi dan asupan protein yang cukup,senaos benten sae keluarga sugih kersaa ingkang miskin nggadhahi pola konsumsi uga asupan proteiningkang cekap 
di pihak lain  terdapat kesenjangan yang besar dalam hal indikator kesehatan lain,ing pihak benten enten kesenjangan ingkang ageng lebet hal indikator kesarasan benten 
hampir setiap keluarga kaya juga memiliki wc pribadi dan hanya  keluarga miskin yang memilikinya,hampir saben keluarga sugih ugi nggadhahi wc pribadi uga namung keluarga miskin ingkang nggadhahanipun 
terakhir  terdapat segelintir keluarga miskin yang belum dapat mengakses penerangan listrik,paling akhir enten segelintir keluarga miskin ingkang dereng saged mengakses panempuhan listrik 
keluarga kaya lebih aktif berpartisipasi dalam politik,keluarga sugih langkung aktif berpartisipasi lebet politik 
kesenjangan yang tajam antara keluarga kaya dan keluarga miskin dapat juga dilihat dari aksesnya terhadap informasi,kesenjangan ingkang tajam antawis keluarga sugih uga keluarga miskin saged ugi dipunningal saking aksesnya majeng informasi 
hanya  keluarga miskin yang secara tetap menonton televisi atau membaca koran  dibandingkan keluarga kaya ,namung keluarga miskin ingkang sacara tetap ningali televisi utawi maos koran dipunbandingaken keluarga sugih 
terdapat juga perbedaan indikator kemiskinan yang signifikan di desadesa di cianjur,enten ugi bedan indikator kemiskinan ingkang signifikan ing dhusundhusun ing cianjur 
demikianlah  kami telah menyajikan bukti bahwa indikator kemiskinan antara masingmasing desa sungguh berbeda,mekatena kami sampun nyawisaken bukti menawi indikator kemiskinan antawis masingmasing dhusun saestu benten 
lebih penting lagi  indikator yang spesifiklokal ini dapat terungkap dengan menggunakan metodologi yang kami terapkan di atas,langkung wigati malih indikator ingkang spesifiklokal niki saged terungkap kaliyan ngginakaken metodologiingkang kami terapkan ing inggil 
pelajaran yang dipetik dari keterlibatan lokal kami telah merekrut kader bkkbn di tingkat desa untuk menjadi enumerator cbms,piwulang ingkang dipunpethik saking keterlibatan lokal kami sampun merekrut kader bkkbn ing tingkat dhusun konjuk dados enumerator cbms 
perekrutan para enumerator pada awalnya diatur oleh kantor perwakilan bkkbn di daerah,perekrutan para enumerator ing awalnya diatur dening kantor wakilan bkkbn ing daerah 
namun  untuk desadesa lain hanya terdapat satu kader bkkbn,nanging konjuk dhusundhusun benten namung enten setunggal kader bkkbn 
sebaliknya  bkkbn demak tidak memiliki data mengenai kader di setiap desa,sawalikipun bkkbn demak mboten nggadhahi data ngengingi kader ing saben dhusun 
pengumpulan data bkkbn selalu terutama dilakukan oleh aparat desa dengan bantuan pplkb,pangempalan data bkkbn salajeng paling utami dipuntumindakake dening aparat dhusun kaliyan bantuanpplkb 
umumnya mereka menugaskan para aparat desa sebagai enumerator,umumnya piyambake sedaya njejibahanaken para aparat dhusun dados enumerator 
setiap enumerator melakukan pencacahan di setiap rt tempat tinggalnya atau rt tetangga dalam rw yang sama,saben enumerator numindakake pencacahan ing saben rt panggen tilaripun utawi rt tanggi lebet rwingkang sami 
dengan demikian  terdapat sedikitnya satu enumerator untuk setiap rt di setiap desa,kaliyan mekaten enten sekedhikipun setunggal enumerator konjuk saben rt ing saben dhusun 
karena smeru tetap menggunakan struktur pengumpulan data tradisional bkkbn  plkb dan pplkb sepenuhnya terlibat,amargi smeru tetap ngginakaken struktur pangempalan data tradisional bkkbn plkb uga pplkbsakebakipun terlibat 
selain itu  mereka juga mengumpulkan kuesioner yang telah dilengkapi dan menyusunnya berdasarkan rtnya masingmasing,kajawi punika  piyambake sedaya ugi ngempalaken kuesioner ingkang sampun dipunpepaki uga menyusunnya berdasarkan rtnya masingmasing 
ada beberapa kesalahan sama yang terjadi di keempat desa tersebut  yakni,enten beberapa kalepatan sami ingkang kedadosan ing kaping sekawan dhusun kesebat yakni 
 enumerator kadangkadang tidak berhasil mengajukan semua pertanyaan karena merasa telah mengetahui jawabannya , enumerator kadang kala mboten kedadosan ngajengaken sedaya pitakenan amargi rumaos sampun nyumerepi wangsulanipun 
 mereka memasukkan kode yang salah dalam kuesioner dan , piyambake sedaya mlebetaken kode ingkang klintu lebet kuesioner uga 
 beberapa jawaban tidak konsisten satu dengan yang lainnya, beberapa wangsulan mboten konsisten setunggal kaliyan ingkang bentenipun 
contoh yang tepat adalah para aparat desa,tuladha ingkang tepat yaiku para aparat dhusun 
namun  ketika mereka telah memahami kuesioner  pengalaman pengumpulan data seketika menjadi kurang penting,nanging nalika piyambake sedaya sampun ngerteni kuesioner pandalon pangempalan data saknalika dados kirang wigati
di pihak lain  aparat desa seharusnya tidak perlu dilibatkan demi lebih memastikan keabsahan data,ing pihak benten aparat dhusun sakedahipun mboten betah dilibatkan demi langkung mestikaken keabsahan data 
alasan lain bagi pentingnya keterlibatan masyarakat lokal adalah,alasan benten kunjuk wigatinipun keterlibatan masyarakat lokalyaiku 
sistem ini dapat dilakukan secara simultan di setiap desa di indonesia,sistem niki saged dipuntumindakake sacara simultan ing saben dhusun ing indonesia 
indikator ini berkisar dari kepemilikan aset dan karakteristik kesehatan hingga pada partisipasi politik dan akses pada informasi,indikator niki berkisar saking kepemilikan aset uga karakteristikkesarasan ngantos ing partisipasi politik uga akses ing informasi 
sistem pendataan ini dikenal dengan nama sistem pemantauan kesejahteraan oleh masyarakat spkm,sistem pendataan niki dipuntepang kaliyan nami sistempemantauan kesejahteraan dening masyarakat spkm 
di indonesia  penggunaan sistem ini telah diuji cobakan di empat desa di jawa barat dan jawa tengah,ing indonesia pangginan sistem niki sampun diuji cobikaken ing sekawan dhusun ing jawi kilen uga jawi madya 
hasil verifikasi menunjukkan bahwa hasil perhitungan yang diperoleh dari spkm memiliki tingkat keakuratan yang cukup tinggi,pikantuk verifikasi nunjukaken menawi pikantuk petang ingkang dipundeningaken saking spkm nggadhahi tingkat keakurataningkang cekap inggil 
spkm mampu secara tepat menyusun urutan kesejahteraan keluarga antarrw dan antardusun di masingmasing wilayah,spkm saged sacara tepat menyusun urutan kesejahteraankeluarga ternarw uga antardusun ing masingmasing wilayah 
ketepatan hasil ini akan mempertajam penargetan wilayah dalam menjalankan suatu program,ketepatan pikantuk niki badhe mempertajam penargetan wilayahlebet nglampahaken mukawis program 
pada pemantauan terhadap jps bidang kesehatan  tim ini juga menyimpulkan bahwa,ing pemantauan majeng jps bidang kesarasan tim niki ugi menyimpulkan menawi 
oleh karena itu  sebenarnya keluarga itu tidak dapat dimasukkan ke dalam kategori keluarga prasejahtera,sarehdenten punika  saleresipun keluarga punika mboten saged dipunmlebetaken mlebet kategori keluarga prasejahtera 
tetapi karena dalam kriteria bkkbn keluarga tersebut masuk ke dalam kelompok prasejahtera maka ia mendapat fasilitas kesehatan,nanging amargi lebet kriteria bkkbn keluarga kesebat mlebet mlebet kelompok prasejahtera mila piyambakipun nyaged fasilitas kesarasan 
hal ini terjadi di surabaya  jawa timur dan simalungun  sumatera utara tim pengendali gtpjps  ,hal niki kedadosan ing surabaya jawi wetan uga simalungun sumatera ler tim pangendhali gtpjps 
 metodologi verifikasi spkm dilakukan dengan melihat kesesuaian antara hasil spkm dengan hasil penilaian masyarakat, metodologi verifikasi spkm dipuntumindakake kaliyan ningali kesamen antawis pikantuk spkm kaliyan pikantuk pangaosan masyarakat 
fgd dengan masyarakat di desa ini dilakukan dalam dua tingkat  yaitu fgd tingkat desa dan fgd tingkat rt,fgd kaliyan masyarakat ing dhusun niki dipuntumindakake lebet kalih tingkat yaiku fgd tingkat dhusun uga fgd tingkat rt 
fgd di tingkat rt dilakukan di dua rt di tiap desa,fgd ing tingkat rt dipuntumindakake ing kalih rt ing saben dhusun 
pemilihan dua rt ini dilakukan berdasarkan kriteria sebagai berikut,pamilehan kalih rt niki dipuntumindakake berdasarkan kriteriadados punika 
 kedua rt tersebut masingmasing mewakili rt yang jauh dan dekat dari pusat kegiatan ekonomi atau pemerintahan desa , kaping kalih rt kesebat masingmasing makili rt ingkang tebih uga celak saking puser kengungkukan ekonomi utawi pamerentahan dhusun 
 kedua rt masingmasing memiliki jumlah keluarga antara  kk dan antara  kk dan , kaping kalih rt masingmasing nggadhahi wilangan keluargaantawis  kk uga antawis  kk uga 
verifikasi spkm dilakukan dalam empat tahap,verifikasi spkm dipuntumindakake lebet sekawan tahap 
pada tahap pertama  peserta fgd memperkirakan proporsi kesejahteraan keluarga tingkat desa,ing tahap setunggal pamawi fgd ngintenaken proporsikesejahteraan keluarga tingkat dhusun 
pelaksanaan fgd dilakukan pada bulan juli  di desa cibulakan cianjur dan bulan september  di desa kedondong demak,pamontenan fgd dipuntumindakake ing wulan juli ing dhusun cibulakan cianjur uga wulan september ing dhusun kedondong demak 
kegiatan fgd ini dilakukan oleh empat peneliti smeru,kengungkukan fgd niki dipuntumindakake dening sekawan peneliti smeru 
di desa cibulakan dipilih rt  rw  dan rt  rw ,ing dhusun cibulakan dipunpileh rt rw uga rt rw 
di desa kedondong dipilih rt  rw  dan rt  rw ,ing dhusun kedondong dipunpileh rt rw uga rt rw 
 desa cibulakan desa cibulakan adalah satu dari  desa di kecamatan cugenang di kabupaten cianjur, dhusun cibulakan dhusun cibulakan yaiku setunggal saking dhusun ing kecamatan cugenang ing kabupaten cianjur 
secara administratif  desa ini dibagi atas tiga dusun   rw  dan  rt,sacara administratif dhusun niki dipunpara inggil telu dusun rw uga rt 
dusun  panumbangan terdiri dari rw  dan rw ,dusun panumbangan badan saking rw uga rw 
dusun  garogol terdiri dari rw  dan rw   dan dusun  ranca picung terdiri dari rw  dan rw ,dusun garogol badan saking rw uga rw uga dusun ranca picung badan saking rw uga rw 
desa cibulakan berjarak sekitar  km dari ibukota kabupaten cianjur dan empat kilometer dari ibukota kecamatan cugenang,dhusun cibulakan ngantawis sekitar km saking ibukotakabupaten cianjur uga sekawan kilometer saking ibukotakecamatan cugenang
kedua jalan tersebut dapat dicapai dalam  menit waktu perjalanan dengan mobil dari desa cibulakan,kaping kalih radin kesebat saged dicapai lebet menit wanci radin kaliyan mobil saking dhusun cibulakan 
keadaan ini mendukung mobilitas warga desa dalam melakukan aktifitas keseharian mereka,kawontenan niki mendukung mobilitas warga dhusun lebet numindakake aktifitas keseharian piyambake sedaya 
selain angkutan desa  transportasi umum lain yang ada di desa cibulakan adalah jasa ojek yang melayani transportasi jarak pendek,kajawi usungan dhusun transportasi umum benten ingkang enten ing dhusun cibulakan yaiku jasa ojek ingkang ngladosi transportasi antawis andhap 
wilayah yang digunakan untuk rumah tinggal luasnya mencapai  hektar ,wilayah ingkang dipunginakaken konjuk griya tilar wiyaripun mencapai hektar 
dan lainnya dimanfaatkan untuk kolam ikan dan fasilitas umum,uga bentenipun dipunginakaken konjuk kolam ulam uga fasilitasumum 
pada umumnya warga desa bekerja sebagai petani,ing umumnya warga dhusun nyambut damel dados petani 
para petani umumnya menanam padi  sementara hanya sedikit warga yang menanam sayursayuran atau mengusahakan budidaya ikan,para petani umumnya nanem pantun sementara namung sekedhik warga ingkang nanem sayursayuran utawi ngupadosaken budidaya ulam 
sebagian warga desa cibulakan lainnya ada juga yang bekerja sebagai tki  khususnya di negaranegara timur tengah,sakunjukan warga dhusun cibulakan bentenipun enten ugi ingkang nyambut damel dados tki khususnya ing nagarinagari wetan madya 
keluargakeluarga tki umumnya relatif lebih makmur dibandingkan dengan keluarga lainnya,keluargakeluarga tki umumnya relatif langkung makmurdipunbandingaken kaliyan keluarga bentenipun 
terdapat banyak warga yang telah memiliki fasilitas kamar mandi dan wc secara terpisah,enten kathah warga ingkang sampun nggadhahi fasilitas kamaradus uga wc sacara kesapih 
fasilitas pendidikan yang ada di desa cibulakan masih terbatas,fasilitas pamucalan ingkang enten ing dhusun cibulakan taksih kewates 
terdapat empat sekolah dasar negeri dan satu sekolah menengah pertama sltp swasta,enten sekawan sekolah dasar negeri uga setunggal sekolahmadya setunggal sltp swasta 
meskipun demikian  sekolah lain juga relatif dekat,parandosipun sekolah benten ugi relatif celak 
terlebih lagi  sekolahsekolah yayasan islam yang dikelola secara lokal seperti pesantren juga tersedia di desa tersebut,tirahtirah malih sekolahsekolah yayasan islam ingkang dikelola sacara lokal kados pesantren ugi sampun dicawis ing dhusun kesebat 
desa cibulakan tidak memiliki fasilitas layanan umum kesehatan,dhusun cibulakan mboten nggadhahi fasilitas ladosan umumkesarasan 
satusatunya fasilitas kesehatan yang pernah ada kini tidak digunakan lagi,setunggalsetunggalipun fasilitas kesarasan ingkang nate enten sakmenika mboten dipunginakaken malih 
fasilitas telekomunikasi di desa cibulakan umumnya banyak tersedia,fasilitas telekomunikasi ing dhusun cibulakan umumnya kathah sampun dicawis 
jaringan telepon permanen tersedia dari pt telkom  meski jumlah pelanggannya sangat kecil,jaringan telepon permanen sampun dicawis saking pt telkom senaos wilangan pelanggannya alit sanget 
selain itu  wartel juga tersedia bagi warga masyarakat,kajawi punika  wartel ugi sampun dicawis kunjuk wargamasyarakat 
beberapa tahun terakhir ini terdapat kecenderungan yang meningkat dalam kepemilikan telepon selular di desa cibulakan,beberapa taun paling akhir niki enten kecenderungan ingkang ningkat lebet kepemilikan telepon selular ing dhusun cibulakan 
bentuk infrastruktur lain yang lebih besar seperti pasar  kantor pos  kantor polisi  dan bank belum tersedia di desa ini,bentuk infrastruktur benten ingkang langkung ageng kados peken kantor pos kantor polisi uga bank dereng sampun dicawis ing dhusun niki 
jika ingin mendapatkan pelayanan tersebut  warga harus pergi ke ibukota kabupaten cianjur,menawi kersa nyagedaken paladosan kesebat warga kedah kesah datheng ibukota kabupaten cianjur 
 wilayah rt  rw  desa cibulakan wilayah rt  rw  merupakan wilayah yang berada di dusun  panumbangan, wilayah rt rw dhusun cibulakan wilayah rt rw ngrupikaken wilayah ingkang wonten ing dusun panumbangan 
lokasi rt  rw  yang berdekatan dengan pusat kegiatan ekonomi desa membuat wilayah ini padat penduduknya,lokasi rt rw ingkang nyelakan kaliyan puser kengungkukan ekonomi dhusun ndamel wilayah niki padat para warginipun 
sistem tata ruang yang tidak terencana dengan baik membuat rumahrumah tersebut tidak tertata dengan rapi,sistem tata ruang ingkang mboten terencana kaliyan sae ndamel griyagriya kesebat mboten tertata kaliyan rapi 
pada umumnya  luas tanah untuk rumah dan pekarangan kecil dan beberapa rumah warga dibangun bertingkat,ing umumnya wiyar siti konjuk griya uga pekarangan alit uga beberapa griya warga dipunwungu ningkat 
jumlah penduduk rt  rw  mengalami peningkatan yang relatif tinggi selama setahun terakhir,wilangan para wargi rt rw ngalami indhakindhakan ingkang relatif inggil salebetipun sataun paling akhir 
jalan menuju rt ini bisa dilalui dengan mobil,radin menuju rt niki sanguh kelangkungan kaliyan mobil 
kehidupan bernuansa desa lebih nampak di rt  rw  ini,kegesangan bernuansa dhusun langkung nampak ing rt rw niki 
jumlah penduduk rt  rw  tidak banyak mengalami perubahan selama setahun terakhir,wilangan para wargi rt rw mboten kathah ngalami ewahewahan salebetipun sataun paling akhir
salah satu penyebab sedikitnya jumlah keluarga yang ada di rt ini adalah lokasinya yang jauh dari pusat kegiatan ekonomi desa ,salah satunggal penyebab sekedhikipun wilangan keluargaingkang enten ing rt niki yaiku lokasinya ingkang tebih saking puser kengungkukan ekonomi dhusun 
migrasi warga rt ini baik migrasi keluar maupun masuk relatif jarang,migrasi warga rt niki sae migrasi medal kersaa mlebet relatifawis 
mata pencaharian masyarakat rt  rw  pada umumnya adalah bertani,mripat pencaharian masyarakat rt rw ing umumnya yaiku sesabin 
 desa kedondong secara administratif  desa kedondong merupakan satu dari  desakelurahan yang ada di kecamatan demak, dhusun kedondong sacara administratif dhusun kedondongngrupikaken setunggal saking dhusunkelurahan ingkang enten ing kecamatan demak 
desa ini dibagi menjadi tiga rw dan  rt,dhusun niki dipunpara dados telu rw uga rt 
fasilitas pendidikan yang ada di desa ini terdiri atas empat buah sekolah dasar dan satu buah taman kanakkanak,fasilitas pamucalan ingkang enten ing dhusun niki badan inggil sekawan buah sekolah dasar uga setunggal buah taman kanakkanak 
di desa ini tidak terdapat sekolah lanjutan  baik tingkat sltp maupun slta,ing dhusun niki mboten enten sekolah lajengan sae tingkat sltp kersaa slta 
sltp terdekat berjarak  km dari desa ini dan slta terdekat berjarak  km,sltp paling celak ngantawis km saking dhusun niki uga sltapaling celak ngantawis km 
sementara itu  fasilitas pendidikan tinggi terdekat berjarak  km  dekat pusat kota,sementara punika  fasilitas pamucalan inggil paling celak ngantawis km celak puser kitha 
obatobatan tanpa resep dokter pun tersedia di kioskios yang ada di desa,jampijampen tanpa resep dokter pun sampun dicawis ing kioskios ingkang enten ing dhusun 
akses masyarakat untuk keluar dan masuk desa cukup memadai,akses masyarakat konjuk medal uga mlebet dhusun cekap ngenteni 
transportasi umum seperti minibus dan ojek tersedia setiap hari  sedikitnya selama delapan jam,transportasi umum kados minibus uga ojek sampun dicawis saben dinten  sekedhikipun salebetipun wolu jam 
dalam hal sanitasi  kebanyakan warga masyarakat desa memanfaatkan air sungai di sebelah barat desa untuk mandi,lebet hal sanitasi kekathahen warga masyarakat dhusun ngginakaken toya lepen ing sisih kilen dhusun konjuk adus 
sebaliknya  hampir semua anggota masyarakatnya mengkonsumsi air minum dari pam,sawalikipun hampir sedaya anggota masyarakatnyamengkonsumsi toya inum saking pam 
untuk sumber energi  kebanyakan masyarakat desa menggunakan kayu bakar untuk memasak  disusul minyak tanah dan kompor gas,konjuk sumber energi kekathahen masyarakat dhusun ngginakaken kajeng besem konjuk mangsak disusul lisah siti uga kompor gas 
namun  di desa ini tidak terdapat kantor pos  dan kantor pos terdekat berjarak  km dari desa,nanging ing dhusun niki mboten enten kantor pos uga kantor pos paling celak ngantawis km saking dhusun 
 wilayah rt  rw  desa kedondong rt  rw  merupakan satu dari tujuh rt yang ada di rw  desa kedondong, wilayah rt rw dhusun kedondong rt rw ngrupikaken setunggal saking pitu rt ingkang enten ing rw dhusun kedondong 
wilayah rt  menempati areal tanah datar yang berbentuk empat persegi panjang dengan panjang  meter dan lebar  meter,wilayah rt ngenggeni areal siti waradin ingkang nduwe bentuk sekawan persegi panjang kaliyan panjang meter uga wiyar meter 
lokasi rt  rw  dekat dengan kantor desa dan masjid desa,lokasi rt rw celak kaliyan kantor dhusun uga masjiddhusun 
kepala desa saat ini merupakan salah satu warga rt ini,sirah dhusun kala niki ngrupikaken salah satunggal warga rt niki 
pekerjaan masyarakat yang ada di rt ini pada umumnya adalah bertani,padamelan masyarakat ingkang enten ing rt niki ing umumnyayaiku sesabin 
pekerjaan lainnya adalah sebagai aparat desa  pedagang  atau pekerjaan di bidang jasa seperti sopir angkutan umum,padamelan bentenipun yaiku dados aparat dhusun panggramen utawi padamelan ing bidang jasa kados sopir usungan umum 
akses masyarakat terhadap pendidikan untuk tingkat sd masih mudah dilakukan karena adanya sd di desa dan tidak jauh dari rt  ini,akses masyarakat majeng pamucalan konjuk tingkat sd taksih gampil dipuntumindakake amargi entenipun sd ing dhusun uga mboten tebih saking rt niki 
 wilayah rt  rw  desa kedondong rt  rw  merupakan satu dari enam rt yang ada di rw  desa kedondong, wilayah rt rw dhusun kedondong rt rw ngrupikaken setunggal saking enem rt ingkang enten ing rw dhusun kedondong 
jalan desa ini memiliki lebar jalan  meter yang terbuat dari makadam yang dibangun pada ,radin dhusun niki nggadhahi wiyar radin meter ingkang kedamel saking makadam ingkang dipunwungu ing 
mata pencaharian masyarakat rt  rw  pada umumnya adalah bertani dan masyarakat desa mengenal warga rw  sebagai petani bawang,mripat pencaharian masyarakat rt rw ing umumnya yaiku sesabin uga masyarakat dhusun nepang warga rw dados petani bawang 
selain bertani  beberapa warganya ada yang bekerja sebagai aparat desa  guru  ustad  atau pedagang,kajawi sesabin beberapa warganya enten ingkang nyambut damel dados aparat dhusun guru ustad utawi panggramen 
selain itu  terdapat enam keluarga yang membuka warung sembako di rumah mereka,kajawi punika  enten enem keluarga ingkang mbikak wande sembako ing griya piyambake sedaya 
